CELL	MARKER
RGC	Thy1
RGC	Rbpms
RGC	Pou4f1
RGC	Pou4f2
RODS	Rho
CONES	Arr3
BIPOLAR	Vsx2
BIPOLAR	Prkca
BIPOLAR	Grm6
MULLER	Sox9
MULLER	Glul
MULLER	Clu
MULLER	Dkk3
MULLER	S100a6
AMACRINE	Pax6
AMACRINE	Gad1
AMACRINE	Tfap2a
ENDOTHELIAL	Pecam1
ASTROCYTES	Gfap
PERICYTES	Cspg4
CHOLINERGIC	Chat
MICROGLIA	Cx3cr1
RSK3	Rps6ka2
Astrocytes	Gfap
Astrocytes	Slc1a3
Astrocytes	Slc1a2
Astrocytes	Glul
Astrocytes	S100b
Astrocytes	Aldh1l1
astrocytes_A1	C3
astrocytes_A1	H2-T23
astrocytes_A1	Serping1
astrocytes_A1	H2-D1
astrocytes_A1	Ggta1
astrocytes_A1	Iigp1
astrocytes_A2	Clcf1
astrocytes_A2	Tgm1
astrocytes_A2	Ptx3
astrocytes_A2	S100a10
astrocytes_A2	Sphk1
astrocytes_A2	Cd109
astrocytes_A2	Ptgs2
astrocytes_A2	Emp1
astrocytes_A2	Slc10a6
astrocytes_A2	Tm4sf1
astrocytes_A2	B3gnt5
astrocytes_A2	Cd14
astrocytes_A2	Stat3
B_cells	Ms4a1
CD8_T_cells	Cd8a
DC	Fcer1a
DC	Cst3
Macrophage	Cd14
Macrophage	Fcgr3
Macrophage	Fcgr1
Macrophage	Cd68
Macrophage	Tfrc
Macrophage	Ccr5
Memory_CD4	Il7r
Memory_CD4	S100a4
Microglia	Tmem119
Microglia	Iba1
Microglia	Ptprc
Microglia	Itgam
Microglia	Cx3cr1
Microglia	Mertk
Microglia	P2ry12
Microglia	Siglech
Microglia	Itgax
Microglia	Cd68
Microglia	Cd40
Microglia	Hcls1
Microglia	Ncoa6
Monocytes_CD14	Cd14
Monocytes_CD14	Lyz1
Monocytes_FCGR3A	Fcgr3a
Monocytes_FCGR3A	Ms4a7
Naive_CD4_T_cells	Il7r
Naive_CD4_T_cells	Ccr7
Neurons	
Neurons	Nefm
Neurons	Tubb3
Neurons	
Neurons	Gap43
Neurons	Map2
Neurons	Rbfox3
Neurons	
Neurons	Grin1
Neurons	Nrcam
Neurons	Eno2
Neurons	Uchl1
Neurons	Tcf4
Neurons	Th
NK	Gnly
NK	Nkg7
Oligodendrocyte	Mbp
Oligodendrocyte	Mog
Oligodendrocyte	Olig1
Oligodendrocyte	Olig2
Oligodendrocyte	Sox10
Oligodendrocyte	Cnp
Oligodendrocyte	Cldn11
Oligodendrocyte	Cspg4
Platelets	Ppbp
